text_clean,label
influence homogeneous magnetic field single mobile hole magnetic insulator represent twodimensional tj model investigate consider couple field orbital current energy system analyse via hightemperature expansion small system diagonalization susceptibility show diamagnetic diverging low temperature contrast antiferrmagnetic case small system generically reveal tendency towards paramagnetic response large field low employ cumulant expansion study ground state arbitrary show behavior sensitive character quasiparticle dispersion magneticfield strength low perturbation smallsystems result consistent pronounce diamagnetic susceptibility indicate suppress contribution intermediate tj,cond-mat.str-el
consider stochastic linear bandit problem reward subject random noise also adversarial attack subject suitable budget ie upper bound sum corruption magnitude across time horizon provide two variant robust phase elimination algorithm one know one variant show attain nearoptimal regret noncorrupted case incur additional additive term respectively linear quadratic dependency general present algorithm independent low bound show additive term nearoptimal addition contextual set revisit setup diverse context show simple greedy algorithm provably robust nearoptimal additive regret term despite perform explicit exploration know,stat.ML cs.LG
highz type ia supernova expect gravitationally lensed foreground distribution largescale structure result magnification supernova statistically measurable angular correlation magnification pattern directly probes integrated mass density along line sight measurement cosmic magnification supernova therefore complement galaxy shear measurement provide direct measure cluster dark matter number supernovae typically much small number shear galaxy twopoint correlation function lensed type ia supernova suffers significantly increase shot noise neverthless find magnification map large sample supernova expect next generation dedicate search easily measurable provide important cosmological tool example search sq deg five year lead sample supernova would measure angular power spectrum cosmic magnification cumulative signaltonoise ratio detection improve supernova distance measurement crosscorrelated measurement foreground galaxy distribution magnification map make use supernova use important crosscheck traditional lensing shear statistic obtain field well help control systematics discuss two application supernova magnification map break masssheet degeneracy estimate mass sheardetected cluster constrain secondorder correction weak lensing observables,astro-ph
study structure accretion disk around supermassive black hole radial range sim gravitational radius use three dimensional radiation magnetohydrodynamic simulation typical condition region active galactic nucleus agn rosseland mean opacity expect large electron scatter value show iron opacity bump cause disk convective unstable turbulence generate convection puff disk due additional turbulent pressure support enhance local angular momentum transport also result strong fluctuation surface density heating disk opacity drop increase temperature convection suppress disk cool whole process repeat cause strong oscillation disk scale height luminosity variation factor approx year timescale since iron opacity bump move different location disk black hole different mass accretion rate suggest physical mechanism explain variability agn wide range amplitude time scale year decade,astro-ph.HE
analysis several algorithm data structure frame peel process random hypergraph vertex degree less adjacent edge remove vertex degree less leave often question whether remain hypergraph kcore empty setting may possible remove either vertex edge hypergraph peel cost example hash application key correspond edge bucket vertex one might use additional side data structure commonly refer stash separately handle key order avoid collision natural question case find minimum number edge vertex need stash order realize empty kcore show problem npcomplete geq graph regular hypergraphs sole exception edge variant stash solvable polynomial time standard uniform graph,cs.CC
infer property massive star population use farultraviolet stellar continuum starforming galaxy lowz observe hst megasaura sample fit stellar continuum linear combination single age single metallicity model fit derive lightweighted age metallicities agree stellar wind photospheric spectral feature infer spectral shape strength ionize continuum infer lightweighted stellar metallicities span zodot similar measure nebular metallicities quantify ionize continuum use ratio ionize flux aa nonionizing flux aa demonstrate evolution ratio stellar age metallicity use theoretical single burst model single burst model match infer ionize continua half sample half described mixture stellar age mixed age population produce strong hard ionize spectra continuous star formation history contrary previous study assume constant star formation similar stellar nebular metallicities stellar population age metallicity affect faruv continuum different distinguishable way assume constant star formation history diminishes diagnostic power finally provide simple prescription determine ionize photon production efficiency xiion stellar population property xiion range logxiion hz erg depend stellar age metallicity star formation history contribution binary star evolution stellar population property must observationally determine determine number ionize photon generate massive star,astro-ph.GA
noncommutativity fourdimensional phase space introduce purely symplectic point view show always coordinate map locally eliminate gauge fluctuation induce deformation symplectic structure use mosers lemma refine version celebrate darboux theorem discus relation coordinate change arise mosers lemma seibergwitten map illustration consider quantum hall system cp derive action describe electromagnetic interaction hall droplets particular show velocity edge field along droplet boundary noncommutativity parametersdependents,hep-th cond-mat.mes-hall math-ph math.MP
derive computationally convenient formula large sample coverage probability confidence interval scalar parameter interest follow preliminary hypothesis test specify vector parameter take give value general regression model previously large sample coverage probability could estimate simulation formula require evaluation numerical integration either double triple integral irrespective dimension specify vector parameter illustrate application formula confidence interval log odds ratio myocardial infarction exposure recent oral contraceptive use follow preliminary test two specify interaction logistic regression model zero reallife data compare large sample coverage probability actual coverage probability confidence interval obtain simulation,stat.ME
present method perform hamiltonian monte carlo largely eliminate sample rejection typical hyperparameters situation would normally lead rejection instead longer trajectory compute new state reach accept achieve use markov chain transition satisfy fix point equation satisfy detail balance result algorithm significantly suppress random walk behavior waste function evaluation typically consequence update rejection demonstrate great factor two improvement mixing time three test problem release source code python matlab package,stat.CO stat.ML
study relativistic quantum cavity system realize etch graphene sheet quantum transport measurement theoretical calculation conductance graphene cavity measure function back gate voltage fermi energy magnetic field apply perpendicular graphene sheet characteristic conductance contour pattern observe measurement particular two type high conductance contour line ie straight paraboliclike high conductance contour line find measurement theoretical calculation perform within framework tightbinding approach green function formalism similar characteristic high conductance contour feature experiment find calculation wave function calculate point select along straight conductance contour line find dominate chain scar high probability distribution arrange necklace follow shape cavity current density distribution calculate point dominate overall vortex cavity characteristic find insensitive increase magnetic field however wave function probability distribution current density distribution calculate point select along paraboliclike contour line show clear dependence increase magnetic field current density distribution point characterize complex formation several localized vortex cavity work bring new insight quantum chaos relativistic particle system would greatly stimulate experimental theoretical effort towards still emerge field,cond-mat.mes-hall
prediction solar flare eruption high energy particle storm great societal importance data mining approach forecast show promising benchmark datasets key element development datadriven forecast one benchmark data set establish judicious use data selection prediction algorithm key develop high quality robust method prediction geoeffective solar activity review briefly process generate benchmark datasets develop prediction algorithm,astro-ph.SR
paper deal second order abstract linear partial differential equation lpde partial differential field two commute differential operator term usual differential equation main content present follow classification invariant problem second order lpdes respect transformation xxxieta yyxieta uhxyvxieta xy independent dependent variable lpde consider solution problem give different subclass nonparabolic lpde appear naturally equivalence problem lpde criterion reducibility lpde lpde constant coefficient offer well,math.AP
volume discussion concern brand within social medium provide digital marketer great opportunity track analyze feeling view consumer toward brand product influencers service ad campaign cgc present study aim assess compare performance firm celebrity ie influencers experience ad campaign company automate sentiment analysis employ cgc social medium explore feel consumer toward observe influencer two company closer effect correspond corporation consumer mind purpose several consumer tweet page brand influencers utilized make comparison machine learn lexiconbased approach sentiment analysis naive algorithm lexiconbased naive bayes algorithm machine learn method obtain desired result assess campaigns finding suggest approach dissimilar term accuracy machine learning method yield high accuracy finally result show influencer appropriate accord existence previous campaign help choose right influencer future company well appropriate efficient ad campaign subsequently require conduct study accuracy improvement sentiment classification approach employ social medium cgc type result reveal decisionmaking sentiment analysis method best approach analysis social medium also find company aware consumer sentiment choose right person every time think campaign,cs.SI cs.CY cs.DB cs.LG
give new third postnewtonisn spinspin contribution pn parameter epsilon accumulate orbital phase compact binary arise spinorbit precessional motion spin equal mass case contribution vanishes lisa source merge supermassive binary black hole typically mass ratio nonequal mass correction periodic time period approximately epsilon time large period gravitational wave derive renormalize simpler expression spinspin coefficient average timescale period combine contribution also find lisa source quadrupolemonopole contribution phase dominate spinspin contribution selfspin contribution negligible even dominant spin finally define renormalize total spin coefficient barsigma employ search gravitational wave emit lisa source,gr-qc astro-ph.HE
adaptive interpolation scheme propose accurately calculate wideband response electromagnetic simulation propose scheme sample point first carefully divide several group base response avoid runge phenomenon error fluctuation different interpolation strategy use calculate response whole frequency band relative error satisfy predefined threshold specific frequency band refine error criterion meet detailed error analysis also present verify accuracy interpolation scheme last two numerical example include antenna radiation filter simulation carry validate accuracy efficiency,cs.CE
let moufang loop centrally nilpotent class first show nuclearlyderived subloop normal associator subloop exponent divide follow lp subloop element ppower order associative next loop say small frattini moufang loop sfml central subgroup order cisom lz elementary abelian pgroup thus give structure call cod vector space cv associativegroup case cvss either orthogonal space symplectic space attach linear form principal result every cv may obtain sfml way two sfmls isomorphic manner preserve central subgroup cvss isomorphic scalar multiple consequently obtain fact every sfm loop code loop sense griess also obtain relatively explicit characterization isotopy sfm loop characterization isotopy easily extend moufang loop class exponent finally sketch method construct finite moufang loop centrally nilpotent class,math.GR
discus growth envelop fourieranalytically define besov triebellizorkin space bspqrn fspqrn ssigmapnmaxfrac result may also reformulate optimal embeddings scale lorentz space lpqrn close several open problem outline already triebel triebel structure function birkhauser basel explicitly formulate haroske haroske envelop sharp embeddings function space chapman hall crc boca raton,math.FA
supervise machine learn method usually require large set label example model train however many real application plentiful unlabeled data limit label data acquisition label costly active learn al reduces label cost iteratively select valuable data query label annotator article introduces python toobox alipy active learn alipy provide module base implementation active learning framework allow user conveniently evaluate compare analyze performance active learning method toolbox multiple option available component learn framework include data process active selection label query result visualization etc addition implementation stateoftheart active learning algorithm alipy also support user easily configure implement approach different active learning setting al multilabel data al noisy annotator al different cost toolbox welldocumented opensource github easily instal pypi,cs.LG stat.ML
static property multiskyrmions baryon number calculate include momentum inertia sigmaterm calculation base recently suggest su rational map ansaetze minimization help su variational minimization program show configuration become local minimum su configuration space bnumber dependence call flavour moment inertia multiskyrmions play important role quantization procedure close linear one spectrum baryonic system strangeness charm bottom consider within rigid oscillator version bound state soliton model bind energy estimate make state large isospin appear negatively charge nuclear fragment well state zero isospin light fragment flavour nuclear matter result confirm previously make observation baryonic system charm bottom quantum number chance stable respect strong interaction strange baryonic system,hep-ph
report jpsi upsilonpair production promising process access polarise unpolarised gluon tmds lhc present formalism use well result observables could extract data,hep-ph hep-ex
paper description hubbard model square lattice nearestneighbor transfer integral onsite repulsion na gg site consistent exact global time time symmetry construct study profit interplay recently find global symmetry model bipartite lattice transformation law suitable electron rotatedelectron unitary transformation welldefined set operator quantum object occupancy configuration object generate energy eigenstates span one twoelectron subspace subspace define paper contains nearly whole spectral weight excitation generate application onto zerospindensity ground state one twoelectron operator description involve three basic object charge fermion spin spinons etaspin etaspinons alike chromodynamics quark color quarkcomposite physical particle colorneutral etaspinon spinons invariant transformation eta spin spin part etaspinneutral spinneutral nuetaspinon nuspinon composite etanu fermion snu fermion nu number etaspinon spinon pairsthe description introduce consistent motthubbard insulate ground state antiferromagnetic longrange order half fill hole concentration ground state shortrange spin order welldefined range finite hole concentration,cond-mat.str-el
magnetotransport form simosfets sisige quantum well low temperature report metallic temperature dependence resistivity observe nsisige sample even parallel magnetic field spin electron expect polarized completely correlation spin polarization minimum diagonal resistivity observe rotate sample various total strength magnetic field also investigate,cond-mat.str-el
paper consider sequential dynamic team decision problem nonclassical information structure first address problem point view manager seek derive optimal strategy team centralize process derive structural result yield information state team depend control strategy thus lead dynamic programming decomposition optimization problem space team decision derive structural result team member yield information state depend control strategy thus lead dynamic programming decomposition optimization problem team member space decision finally show control strategy team member one derive manager present illustrative example dynamic team delay share information structure,math.OC
study problem area scatter time harmonic acoustic electromagnetic wave unbounded rough surfacesinhomogeneous layer specifically study boundary value problem bvp helmholtz equation dimension model scattering time harmonic wave due source lie within finite distance boundary decay along boundary layer spatially vary refractive index unbounded rough surface field vanishes ii bvp helmholtz equation impedance boundary condition dimension model scattering time harmonic acoustic wave due source lie within finite distance boundary decay along boundary unbounded rough impedance surface iii problem scatter time harmonic wave layer spatially vary refractive index interface semiinfinite halfspaces fix positive refractive index wave arise due source lie within finite distance layer decay along layer iv bvp helmholtz equation dirichlet boundary condition dimension model scattering time harmonic acoustic wave due point source unbounded rough sound soft surface study ii iii variational method via analysis equivalent variational formulation prove problem wellposed various restriction surface must lipschitz frequency rate change refractive index etc study iv via brakhagewerner type integral equation formulation base ansatz solution combine single doublelayer potential establish rough surface graph lipschitz function problem wellposed arbitrary frequency,math.AP
treatment multiboson coherent state extend completeness formulation basic idea extension present term expand boson space myt boson mapping play central role resultant multiboson coherent state include state obtain previous treatment form suggest various multiboson coherent state possible deform boson scheme,nucl-th
overview various typical instrument use highintensity hadron beam give addition important diagnostic method discuss quite special kind beam,physics.acc-ph
result phenix collaboration production deuteron antideuterons collision gold nuclei nucleonnucleon centerofmass energy sqrts gev present,nucl-ex hep-ex
